Parcel Number,Sale Date,Sale Amount,Address,Style,Year Built,Total SF,Lot Area,Appraised Value,Recording
1018433008,11/20/2013,"$196,000","51 ANDREA CT, IOWA CITY",Split Foyer Frame,2002,1247,"9,920","$320,210",5182-854
1023352001,06/10/2013,"$196,000","1404 DICKENSON LN, IOWA CITY",Split Level Frame,2001,1818,"9,779","$307,560",5134-569
1018404002,06/18/2013,"$196,500","2749 IRVING AVE, IOWA CITY",Split Foyer Frame,2000,1208,"7,080","$305,350",5131-145
1010189006,07/03/2013,"$197,000","711 E BLOOMINGTON ST, IOWA CITY",2 Story Frame,1847,1216,"6,000","$281,260",5136-407
1014115001,06/11/2013,"$197,000","2127 FRIENDSHIP ST, IOWA CITY",2 Story Frame,1903,3050,"12,000","$439,620",5130-974
1017153005,05/28/2013,"$198,000","705 KESWICK DR, IOWA CITY",Split Foyer Frame,1971,1236,"7,150","$280,120",5128-747
1017483007,01/11/2013,"$198,000","32 EALING DR, IOWA CITY",Split Foyer Frame,1978,1184,"8,400","$287,340",5045-990
1023376007,07/15/2013,"$198,000","1604 DICKENSON LN, IOWA CITY",2 Story Frame,1995,1773,"6,600","$307,920",5134-935
1022177003,10/14/2013,"$198,200","776 SANDUSKY DR, IOWA CITY",1 Story Brick,1991,1488,"8,512","$327,920",5174-167
1018405001,07/25/2013,"$198,500","1104 EMILY CT, IOWA CITY",Split Foyer Frame,1999,1208,"9,862","$309,660",5145-828
1011311007,07/18/2013,"$199,000","5 N 7TH AVE, IOWA CITY",2 Story Frame,1954,1431,"10,075","$330,320",5136-986
1009257007,08/13/2013,"$199,900","1131 DILL ST, IOWA CITY",1 Story Frame,1915,889,"3,750","$276,170",5145-63
1012428003,07/07/2013,"$199,900","155 N WESTMINSTER ST, IOWA CITY",Split Foyer Frame,1976,1420,"11,250","$324,160",5125-8
1010283001,10/15/2013,"$200,000","309 FAIRCHILD ST, IOWA CITY",2 Story Frame,1908,1756,"6,000","$316,360",5170-903
1014228001,07/26/2013,"$200,000","425 CLARK ST, IOWA CITY",2 Story Frame,1900,1276,"4,455","$300,700",5136-219
1016139006,08/30/2013,"$200,000","422 MELROSE CT, IOWA CITY",2 Story Frame,1900,1560,"5,940","$343,750",5155-867
1016339001,05/23/2013,"$200,000","1115 SUNSET ST, IOWA CITY",2 Story Frame,1978,2222,"12,735","$413,580",5099-251
1022157001,11/01/2013,"$200,000","711 SANDUSKY DR, IOWA CITY",Split Level Frame,1992,2004,"8,316","$293,510",5178-337
1023356002,06/09/2013,"$200,000","1358 LANGENBERG AVE, IOWA CITY",Split Level Frame,2004,1885,"8,138","$320,010",5107-613
1023396009,11/30/2013,"$200,000","1415 LANGENBERG AVE, IOWA CITY",Split Level Frame,2003,1816,"8,400","$308,500",5186-896
1011154004,12/11/2013,"$201,000","428 N 7TH AVE, IOWA CITY",2 Story Frame,1989,1704,"10,270","$345,790",5191-724
